,epoch,batch_size,learning_rate,bottleneck_dim,weight_decay,auto_encoder,batch_normalization,error_rate
0,100,16,0.0001,,0.01,CNN,True,0.061592788781438555
1,100,16,0.0001,,0.01,CNN,False,0.1465948360306876
2,100,16,0.0001,,0.001,CNN,True,0.053935802089316504
3,100,16,0.0001,,0.001,CNN,False,0.10519759420837675
4,100,16,0.0001,,0.0001,CNN,True,0.08423682685409273
5,100,16,0.0001,,0.0001,CNN,False,0.06738064927714212
6,100,16,0.0001,,1e-05,CNN,True,0.0607526034116745
7,100,16,0.0001,,1e-05,CNN,False,0.056219709983893806
8,100,16,0.001,,0.01,CNN,True,0.06278487337487085
9,100,16,0.001,,0.01,CNN,False,0.1303892182452338
10,100,16,0.001,,0.001,CNN,True,0.044255803631884714
11,100,16,0.001,,0.001,CNN,False,0.1182639867067337
12,100,16,0.001,,0.0001,CNN,True,0.04422423264810017
13,100,16,0.001,,0.0001,CNN,False,0.025408397455300602
14,100,16,0.001,,1e-05,CNN,True,0.04145798534154892
15,100,16,0.001,,1e-05,CNN,False,0.02051303397331919
16,100,16,0.01,,0.01,CNN,True,0.07002331763505935
17,100,16,0.01,,0.01,CNN,False,0.12365899405309132
18,100,16,0.01,,0.001,CNN,True,0.056824288410799846
19,100,16,0.01,,0.001,CNN,False,0.1276852147919791
20,100,16,0.01,,0.0001,CNN,True,0.0420836298593453
21,100,16,0.01,,0.0001,CNN,False,0.020866066802825246
22,100,16,0.01,,1e-05,CNN,True,0.045897492979254044
23,100,16,0.01,,1e-05,CNN,False,0.015008389071694443
24,100,32,0.0001,,0.01,CNN,True,0.09035796395369938
25,100,32,0.0001,,0.01,CNN,False,0.14649842083454132
26,100,32,0.0001,,0.001,CNN,True,0.08919429119144168
27,100,32,0.0001,,0.001,CNN,False,0.14400835037231446
28,100,32,0.0001,,0.0001,CNN,True,0.08235964179039001
29,100,32,0.0001,,0.0001,CNN,False,0.09207325343574796
30,100,32,0.0001,,1e-05,CNN,True,0.09107665078980583
31,100,32,0.0001,,1e-05,CNN,False,0.08304358976227896
32,100,32,0.001,,0.01,CNN,True,0.054682069378239766
33,100,32,0.001,,0.01,CNN,False,0.13286410868167878
34,100,32,0.001,,0.001,CNN,True,0.04942175022193364
35,100,32,0.001,,0.001,CNN,False,0.050987215553011216
36,100,32,0.001,,0.0001,CNN,True,0.04011727699211665
37,100,32,0.001,,0.0001,CNN,False,0.033740655864988055
38,100,32,0.001,,1e-05,CNN,True,0.052029765503747126
39,100,32,0.001,,1e-05,CNN,False,0.030333273964268822
40,100,32,0.01,,0.01,CNN,True,0.07482666500977107
41,100,32,0.01,,0.01,CNN,False,0.12651555644614357
42,100,32,0.01,,0.001,CNN,True,0.06496582222836358
43,100,32,0.01,,0.001,CNN,False,0.12302044693912778
44,100,32,0.01,,0.0001,CNN,True,0.05561231140579496
45,100,32,0.01,,0.0001,CNN,False,0.028715756854840686
46,100,32,0.01,,1e-05,CNN,True,0.0487363794020244
47,100,32,0.01,,1e-05,CNN,False,0.02059677094221115
48,100,64,0.0001,,0.01,CNN,True,0.13451239466667175
49,100,64,0.0001,,0.01,CNN,False,0.1496686488389969
50,100,64,0.0001,,0.001,CNN,True,0.11455205827951431
51,100,64,0.0001,,0.001,CNN,False,0.14570419490337372
52,100,64,0.0001,,0.0001,CNN,True,0.1024661436676979
53,100,64,0.0001,,0.0001,CNN,False,0.11220560222864151
54,100,64,0.0001,,1e-05,CNN,True,0.09587102383375168
55,100,64,0.0001,,1e-05,CNN,False,0.11297694593667984
56,100,64,0.001,,0.01,CNN,True,0.061076827347278595
57,100,64,0.001,,0.01,CNN,False,0.13419543206691742
58,100,64,0.001,,0.001,CNN,True,0.035055309534072876
59,100,64,0.001,,0.001,CNN,False,0.12004314363002777
60,100,64,0.001,,0.0001,CNN,True,0.03797568753361702
61,100,64,0.001,,0.0001,CNN,False,0.04990658164024353
62,100,64,0.001,,1e-05,CNN,True,0.048789992928504944
63,100,64,0.001,,1e-05,CNN,False,0.04320629686117172
64,100,64,0.01,,0.01,CNN,True,0.08537665754556656
65,100,64,0.01,,0.01,CNN,False,0.1243923082947731
66,100,64,0.01,,0.001,CNN,True,0.04384353756904602
67,100,64,0.01,,0.001,CNN,False,0.12218088656663895
68,100,64,0.01,,0.0001,CNN,True,0.05602189153432846
69,100,64,0.01,,0.0001,CNN,False,0.03476916626095772
70,100,64,0.01,,1e-05,CNN,True,0.03493519499897957
71,100,64,0.01,,1e-05,CNN,False,0.04261462017893791
72,200,16,0.0001,,0.01,CNN,True,0.05024498669164521
73,200,16,0.0001,,0.01,CNN,False,0.13806180272783553
74,200,16,0.0001,,0.001,CNN,True,0.037911239798579896
75,200,16,0.0001,,0.001,CNN,False,0.05896008483001164
76,200,16,0.0001,,0.0001,CNN,True,0.05064041135566575
77,200,16,0.0001,,0.0001,CNN,False,0.05393285517181669
78,200,16,0.0001,,1e-05,CNN,True,0.0460102487887655
79,200,16,0.0001,,1e-05,CNN,False,0.04614147927079882
80,200,16,0.001,,0.01,CNN,True,0.06092746938977923
81,200,16,0.001,,0.01,CNN,False,0.12765226066112517
82,200,16,0.001,,0.001,CNN,True,0.03923089403126921
83,200,16,0.001,,0.001,CNN,False,0.11971122175455093
84,200,16,0.001,,0.0001,CNN,True,0.03104881803904261
85,200,16,0.001,,0.0001,CNN,False,0.016726447961160115
86,200,16,0.001,,1e-05,CNN,True,0.038719109658684046
87,200,16,0.001,,1e-05,CNN,False,0.017042809086186547
88,200,16,0.01,,0.01,CNN,True,0.0685285923736436
89,200,16,0.01,,0.01,CNN,False,0.12415028725351607
90,200,16,0.01,,0.001,CNN,True,0.04118423525776182
91,200,16,0.01,,0.001,CNN,False,0.12873790924038206
92,200,16,0.01,,0.0001,CNN,True,0.04240135731441634
93,200,16,0.01,,0.0001,CNN,False,0.015036871709993908
94,200,16,0.01,,1e-05,CNN,True,0.03180523216724396
95,200,16,0.01,,1e-05,CNN,False,0.014856579660304955
96,200,32,0.0001,,0.01,CNN,True,0.06128226539918354
97,200,32,0.0001,,0.01,CNN,False,0.15646382825715202
98,200,32,0.0001,,0.001,CNN,True,0.05288877529757363
99,200,32,0.0001,,0.001,CNN,False,0.10298553364617484
100,200,32,0.0001,,0.0001,CNN,True,0.07233544311353139
101,200,32,0.0001,,0.0001,CNN,False,0.05327687082546098
102,200,32,0.0001,,1e-05,CNN,True,0.05379973522254399
103,200,32,0.0001,,1e-05,CNN,False,0.054320827020066124
104,200,32,0.001,,0.01,CNN,True,0.06784926503896713
105,200,32,0.001,,0.01,CNN,False,0.1265639168875558
106,200,32,0.001,,0.001,CNN,True,0.039387201624257226
107,200,32,0.001,,0.001,CNN,False,0.04519073952521597
108,200,32,0.001,,0.0001,CNN,True,0.03627909358058657
109,200,32,0.001,,0.0001,CNN,False,0.025414366381508964
110,200,32,0.001,,1e-05,CNN,True,0.03768229170569352
111,200,32,0.001,,1e-05,CNN,False,0.02055437293435846
112,200,32,0.01,,0.01,CNN,True,0.07522658130952291
113,200,32,0.01,,0.01,CNN,False,0.12695350476673672
114,200,32,0.01,,0.001,CNN,True,0.05395803015146937
