,epoch,batch_size,learning_rate,dropout,classification_lambda,classification_layer_num,batch_normalization,weight_decay,reconstruction_error_rate,classification_accuracy
0,100,16,0.0001,0.0,0.1,1,True,0.001,0.07510810451848167,97.14285714285714
1,100,16,0.0001,0.0,0.1,1,True,0.0001,0.07336653960602624,82.85714285714286
2,100,16,0.0001,0.0,0.1,1,True,1e-05,0.09315542365823473,85.71428571428571
3,100,16,0.0001,0.0,0.1,1,False,0.001,0.1072859844991139,77.14285714285714
4,100,16,0.0001,0.0,0.1,1,False,0.0001,0.0987814113497734,68.57142857142857
5,100,16,0.0001,0.0,0.1,1,False,1e-05,0.10435268368039813,80.0
6,100,16,0.0001,0.0,0.1,2,True,0.001,0.06277988638196673,85.71428571428571
7,100,16,0.0001,0.0,0.1,2,True,0.0001,0.0730541882770402,91.42857142857143
8,100,16,0.0001,0.0,0.1,2,True,1e-05,0.06384936485971723,77.14285714285714
9,100,16,0.0001,0.0,0.1,2,False,0.001,0.10169309462819781,68.57142857142857
10,100,16,0.0001,0.0,0.1,2,False,0.0001,0.0863457413656371,85.71428571428571
11,100,16,0.0001,0.0,0.1,2,False,1e-05,0.0813406901700156,85.71428571428571
12,100,16,0.0001,0.0,0.1,3,True,0.001,0.07118024677038193,91.42857142857143
13,100,16,0.0001,0.0,0.1,3,True,0.0001,0.057179564556905205,82.85714285714286
14,100,16,0.0001,0.0,0.1,3,True,1e-05,0.06258094395909991,88.57142857142857
15,100,16,0.0001,0.0,0.1,3,False,0.001,0.10661145001649856,74.28571428571429
16,100,16,0.0001,0.0,0.1,3,False,0.0001,0.10238344179732459,80.0
17,100,16,0.0001,0.0,0.1,3,False,1e-05,0.11723250108105795,74.28571428571429
18,100,16,0.0001,0.0,0.5,1,True,0.001,0.08341150390250342,94.28571428571429
19,100,16,0.0001,0.0,0.5,1,True,0.0001,0.07768090282167707,77.14285714285714
20,100,16,0.0001,0.0,0.5,1,True,1e-05,0.07164746224880218,94.28571428571429
21,100,16,0.0001,0.0,0.5,1,False,0.001,0.10311852650982993,85.71428571428571
22,100,16,0.0001,0.0,0.5,1,False,0.0001,0.10376314691134862,74.28571428571429
23,100,16,0.0001,0.0,0.5,1,False,1e-05,0.07728186611618315,91.42857142857143
